measure_time,block_height
2024-01-17 15:28:03.83391,30
2024-01-17 15:28:07.88162,30
2024-01-17 15:28:11.93152,30
2024-01-17 15:28:15.97500,30
2024-01-17 15:28:20.01827,30
2024-01-17 15:28:24.07231,30
2024-01-17 15:28:28.12700,30
2024-01-17 15:28:32.17896,30
2024-01-17 15:28:36.22276,30
2024-01-17 15:28:40.26834,30
2024-01-17 15:28:44.31983,30
2024-01-17 15:28:48.36402,30
2024-01-17 15:28:52.40884,30
2024-01-17 15:28:56.45672,30
2024-01-17 15:29:00.50873,30
2024-01-17 15:29:04.55513,30
2024-01-17 15:29:08.60149,30
2024-01-17 15:29:12.63826,30
2024-01-17 15:29:16.68579,30
2024-01-17 15:29:20.73107,30
2024-01-17 15:29:24.77466,30
2024-01-17 15:29:28.82142,30
2024-01-17 15:29:32.87031,30
2024-01-17 15:29:36.91948,30
2024-01-17 15:29:40.96534,30
2024-01-17 15:29:45.01097,30
2024-01-17 15:29:49.05138,30
2024-01-17 15:29:53.09630,30
2024-01-17 15:29:57.14327,30
2024-01-17 15:30:01.18588,30
2024-01-17 15:30:05.24081,30
2024-01-17 15:30:09.28317,30
2024-01-17 15:30:13.32868,30
2024-01-17 15:30:17.37514,30
2024-01-17 15:30:21.41765,30
2024-01-17 15:30:25.46079,30
2024-01-17 15:30:29.50006,30
2024-01-17 15:30:33.54320,30
2024-01-17 15:30:37.59069,30
2024-01-17 15:30:41.63917,30
2024-01-17 15:30:45.68303,30
2024-01-17 15:30:49.72927,30
2024-01-17 15:30:53.77136,30
2024-01-17 15:30:57.81696,30
2024-01-17 15:31:01.86615,30
2024-01-17 15:31:05.90675,30
2024-01-17 15:31:09.94934,30
2024-01-17 15:31:13.98930,30
2024-01-17 15:31:18.03505,30
2024-01-17 15:31:22.08456,30
2024-01-17 15:31:26.12845,30
2024-01-17 15:31:30.17273,30
2024-01-17 15:31:34.21755,30
2024-01-17 15:31:38.26300,30
2024-01-17 15:31:42.29900,30
2024-01-17 15:31:46.33827,30
2024-01-17 15:31:50.36578,30
2024-01-17 15:31:54.40468,30
2024-01-17 15:31:58.45425,30
2024-01-17 15:32:02.50244,30
2024-01-17 15:32:06.54760,30
2024-01-17 15:32:10.59118,30
2024-01-17 15:32:14.62768,30
2024-01-17 15:32:18.66703,30
2024-01-17 15:32:22.71048,30
2024-01-17 15:32:26.90811,30
2024-01-17 15:32:30.94542,30
2024-01-17 15:32:34.97943,30
2024-01-17 15:32:39.01969,30
2024-01-17 15:32:43.05708,30
2024-01-17 15:32:47.09323,30
2024-01-17 15:32:51.12431,30
2024-01-17 15:32:55.15911,30
2024-01-17 15:32:59.19414,30
2024-01-17 15:33:03.22416,30
2024-01-17 15:33:07.26281,30
2024-01-17 15:33:11.29296,30
2024-01-17 15:33:15.31607,30
2024-01-17 15:33:19.34578,30
2024-01-17 15:33:23.38355,30
2024-01-17 15:33:27.41251,30
2024-01-17 15:33:31.44766,30
2024-01-17 15:33:35.47827,30
2024-01-17 15:33:39.51962,30
2024-01-17 15:33:43.57534,30
2024-01-17 15:33:47.61909,30
2024-01-17 15:33:51.66375,30
2024-01-17 15:33:55.70957,30
2024-01-17 15:33:59.75541,30
2024-01-17 15:34:03.80167,30
2024-01-17 15:34:07.73746,30
2024-01-17 15:34:11.77239,30
2024-01-17 15:34:15.81773,30
2024-01-17 15:34:19.86284,30
2024-01-17 15:34:23.90465,30
2024-01-17 15:34:27.93634,30
2024-01-17 15:34:31.96418,30
2024-01-17 15:34:36.00537,30
2024-01-17 15:34:40.04414,30
2024-01-17 15:34:44.08722,30
2024-01-17 15:34:48.13364,30
2024-01-17 15:34:52.17604,30
2024-01-17 15:34:56.21744,30
2024-01-17 15:35:00.26605,30
2024-01-17 15:35:04.31005,30
2024-01-17 15:35:08.52210,30
2024-01-17 15:35:12.55635,30
2024-01-17 15:35:16.58949,30
2024-01-17 15:35:20.63656,30
2024-01-17 15:35:24.68866,30
2024-01-17 15:35:28.72726,30
2024-01-17 15:35:32.77336,30
2024-01-17 15:35:36.81381,30
2024-01-17 15:35:40.85916,30
2024-01-17 15:35:44.90295,30
2024-01-17 15:35:48.94720,30
2024-01-17 15:35:52.99048,30
2024-01-17 15:35:57.03581,30
2024-01-17 15:36:01.08705,30
2024-01-17 15:36:05.12722,30
2024-01-17 15:36:09.17960,30
2024-01-17 15:36:13.22508,30
2024-01-17 15:36:17.26852,30
2024-01-17 15:36:21.31608,30
2024-01-17 15:36:25.36236,30
2024-01-17 15:36:29.39791,30
2024-01-17 15:36:33.44553,30
2024-01-17 15:36:37.48905,30
2024-01-17 15:36:41.53099,30
2024-01-17 15:36:45.57595,30
2024-01-17 15:36:49.62238,30
2024-01-17 15:36:53.66133,30
2024-01-17 15:36:57.70709,30
2024-01-17 15:37:01.74568,30
2024-01-17 15:37:05.78451,30
2024-01-17 15:37:09.82743,30
2024-01-17 15:37:13.86989,30
2024-01-17 15:37:17.91556,30
2024-01-17 15:37:21.95817,30
2024-01-17 15:37:26.00884,30
2024-01-17 15:37:30.05456,30
2024-01-17 15:37:34.09952,30
2024-01-17 15:37:38.14518,30
2024-01-17 15:37:42.17190,30
2024-01-17 15:37:46.20929,30
2024-01-17 15:37:50.25721,30
2024-01-17 15:37:54.43573,30
2024-01-17 15:37:58.48323,30
2024-01-17 15:38:02.74548,30
2024-01-17 15:38:06.77576,30
2024-01-17 15:38:10.81018,30
2024-01-17 15:38:14.84036,30
2024-01-17 15:38:18.88802,30
2024-01-17 15:38:22.92911,30
2024-01-17 15:38:26.97290,30
2024-01-17 15:38:31.00788,30
2024-01-17 15:38:35.05073,30
2024-01-17 15:38:39.09545,30
2024-01-17 15:38:43.13000,30
2024-01-17 15:38:47.16438,30
2024-01-17 15:38:51.24604,30
2024-01-17 15:38:55.29804,30
2024-01-17 15:38:59.33830,30
2024-01-17 15:39:03.50830,30
2024-01-17 15:39:07.91686,30
2024-01-17 15:39:11.96091,30
2024-01-17 15:39:16.00861,30
2024-01-17 15:39:20.05416,30
2024-01-17 15:39:24.11124,30
2024-01-17 15:39:28.15281,30
2024-01-17 15:39:32.20409,30
2024-01-17 15:39:36.23869,30
2024-01-17 15:39:40.27923,30
2024-01-17 15:39:44.31398,30
2024-01-17 15:39:48.36664,30
2024-01-17 15:39:52.41918,30
2024-01-17 15:39:56.44930,30
2024-01-17 15:40:00.49255,30
2024-01-17 15:40:04.53452,30
2024-01-17 15:40:08.57310,30
2024-01-17 15:40:12.62059,30
2024-01-17 15:40:16.65710,30
2024-01-17 15:40:20.72477,30
2024-01-17 15:40:24.75858,30
2024-01-17 15:40:28.79913,30
2024-01-17 15:40:32.84152,30
2024-01-17 15:40:36.88992,30
2024-01-17 15:40:40.93555,30
2024-01-17 15:40:44.98353,30
2024-01-17 15:40:49.13219,30
2024-01-17 15:40:53.18411,30
2024-01-17 15:40:57.23632,30
2024-01-17 15:41:01.27625,30
2024-01-17 15:41:05.31748,30
2024-01-17 15:41:09.35729,30
2024-01-17 15:41:13.45285,30
2024-01-17 15:41:17.49452,30
2024-01-17 15:41:21.54491,30
2024-01-17 15:41:25.60092,30
2024-01-17 15:41:29.64810,30
2024-01-17 15:41:33.70023,30
2024-01-17 15:41:37.75675,30
2024-01-17 15:41:41.80017,30
2024-01-17 15:41:45.83692,30
2024-01-17 15:41:49.88562,30
2024-01-17 15:41:53.93531,30
2024-01-17 15:41:57.98349,30
2024-01-17 15:42:02.03712,30
2024-01-17 15:42:06.08120,30
2024-01-17 15:42:10.12927,30
2024-01-17 15:42:14.17816,30
2024-01-17 15:42:18.22461,30
2024-01-17 15:42:22.26978,30
2024-01-17 15:42:26.31827,30
2024-01-17 15:42:30.36609,30
2024-01-17 15:42:34.41544,30
2024-01-17 15:42:38.46436,30
2024-01-17 15:42:42.50553,30
2024-01-17 15:42:46.55817,30
2024-01-17 15:42:50.59560,30
2024-01-17 15:42:54.66484,30
2024-01-17 15:42:58.70854,30
2024-01-17 15:43:02.75035,30
2024-01-17 15:43:06.79636,30
2024-01-17 15:43:10.83380,30
2024-01-17 15:43:14.88156,30
2024-01-17 15:43:18.93231,30
2024-01-17 15:43:22.97441,30
2024-01-17 15:43:27.00365,30
