measure_time,action_type,message_type,message_size
2024-01-17 13:05:41.22626,Received,P2P,93
2024-01-17 13:05:41.22786,Received,P2P,93
2024-01-17 13:05:41.29900,Received,P2P,990
2024-01-17 13:05:41.29994,Sent,P2P,206
2024-01-17 13:05:41.30007,Sent,P2P,206
2024-01-17 13:05:41.30017,Sent,P2P,206
2024-01-17 13:05:41.30049,Received,P2P,206
2024-01-17 13:05:41.30080,Received,P2P,206
2024-01-17 13:05:41.30332,Received,P2P,206
2024-01-17 13:05:42.20804,Sent,P2P,93
2024-01-17 13:05:42.20837,Sent,P2P,93
2024-01-17 13:05:42.20846,Sent,P2P,93
2024-01-17 13:05:42.20933,Received,P2P,93
2024-01-17 13:05:42.22958,Received,P2P,93
2024-01-17 13:05:42.23269,Received,P2P,93
2024-01-17 13:05:42.30463,Sent,P2P,990
2024-01-17 13:05:42.30487,Sent,P2P,990
2024-01-17 13:05:42.30502,Sent,P2P,990
2024-01-17 13:05:42.30529,Sent,P2P,206
2024-01-17 13:05:42.30554,Sent,P2P,206
2024-01-17 13:05:42.30574,Sent,P2P,206
2024-01-17 13:05:42.30821,Received,P2P,206
2024-01-17 13:05:42.30841,Received,P2P,206
2024-01-17 13:05:42.30855,Received,P2P,206
2024-01-17 13:05:42.73308,Received,Channel,57
2024-01-17 13:05:42.73367,Send,Channel,58
2024-01-17 13:05:43.21371,Sent,P2P,93
2024-01-17 13:05:43.21412,Sent,P2P,93
2024-01-17 13:05:43.21426,Sent,P2P,93
2024-01-17 13:05:43.21513,Received,P2P,93
2024-01-17 13:05:43.23245,Received,P2P,93
2024-01-17 13:05:43.23712,Received,P2P,93
2024-01-17 13:05:43.31519,Received,P2P,990
2024-01-17 13:05:43.31670,Sent,P2P,206
2024-01-17 13:05:43.31707,Sent,P2P,206
2024-01-17 13:05:43.31724,Sent,P2P,206
2024-01-17 13:05:43.31832,Received,P2P,206
2024-01-17 13:05:43.32024,Received,P2P,206
2024-01-17 13:05:43.32186,Received,P2P,206
2024-01-17 13:05:44.21584,Sent,P2P,93
2024-01-17 13:05:44.21631,Sent,P2P,93
2024-01-17 13:05:44.21654,Sent,P2P,93
2024-01-17 13:05:44.21974,Received,P2P,93
2024-01-17 13:05:44.23485,Received,P2P,93
2024-01-17 13:05:44.24150,Received,P2P,93
2024-01-17 13:05:44.32640,Received,P2P,990
2024-01-17 13:05:44.32976,Sent,P2P,206
2024-01-17 13:05:44.32981,Received,P2P,206
2024-01-17 13:05:44.32988,Sent,P2P,206
2024-01-17 13:05:44.32995,Received,P2P,206
2024-01-17 13:05:44.33001,Sent,P2P,206
2024-01-17 13:05:44.33198,Received,P2P,206
2024-01-17 13:05:44.73756,Received,Channel,57
2024-01-17 13:05:44.73805,Send,Channel,58
2024-01-17 13:05:44.95735,Sent,P2P,17
2024-01-17 13:05:44.95828,Received,P2P,17
2024-01-17 13:05:44.96291,Received,P2P,17
2024-01-17 13:05:44.96751,Received,P2P,17
2024-01-17 13:05:44.96927,Sent,P2P,17
2024-01-17 13:05:44.96945,Sent,P2P,17
2024-01-17 13:05:45.22080,Sent,P2P,93
2024-01-17 13:05:45.22258,Sent,P2P,93
2024-01-17 13:05:45.22293,Sent,P2P,93
2024-01-17 13:05:45.22391,Received,P2P,93
2024-01-17 13:05:45.24381,Received,P2P,93
2024-01-17 13:05:45.24700,Received,P2P,93
2024-01-17 13:05:45.33593,Received,P2P,93
2024-01-17 13:05:45.33668,Received,P2P,990
2024-01-17 13:05:45.33830,Sent,P2P,206
2024-01-17 13:05:45.33860,Sent,P2P,206
2024-01-17 13:05:45.33915,Sent,P2P,206
2024-01-17 13:05:45.34016,Received,P2P,206
2024-01-17 13:05:45.34035,Sent,P2P,93
2024-01-17 13:05:45.34048,Sent,P2P,93
2024-01-17 13:05:45.34181,Sent,P2P,93
2024-01-17 13:05:45.34199,Received,P2P,206
2024-01-17 13:05:45.34299,Received,P2P,206
2024-01-17 13:05:45.34312,Received,P2P,93
2024-01-17 13:05:45.34377,Received,P2P,93
2024-01-17 13:05:46.22486,Sent,P2P,93
2024-01-17 13:05:46.22532,Sent,P2P,93
2024-01-17 13:05:46.22545,Sent,P2P,93
2024-01-17 13:05:46.22564,Received,P2P,93
2024-01-17 13:05:46.24554,Received,P2P,93
2024-01-17 13:05:46.24995,Received,P2P,93
2024-01-17 13:05:46.34537,Sent,P2P,990
2024-01-17 13:05:46.34565,Sent,P2P,990
2024-01-17 13:05:46.34586,Sent,P2P,990
2024-01-17 13:05:46.34629,Sent,P2P,206
2024-01-17 13:05:46.34648,Sent,P2P,206
2024-01-17 13:05:46.34664,Sent,P2P,206
2024-01-17 13:05:46.35021,Received,P2P,206
2024-01-17 13:05:46.35042,Received,P2P,206
2024-01-17 13:05:46.35057,Received,P2P,206
2024-01-17 13:05:46.73482,Received,Channel,57
2024-01-17 13:05:46.73521,Send,Channel,58
2024-01-17 13:05:47.22661,Sent,P2P,93
2024-01-17 13:05:47.22753,Sent,P2P,93
2024-01-17 13:05:47.22788,Sent,P2P,93
2024-01-17 13:05:47.22902,Received,P2P,93
2024-01-17 13:05:47.24857,Received,P2P,93
2024-01-17 13:05:47.25297,Received,P2P,93
2024-01-17 13:05:47.35449,Received,P2P,990
2024-01-17 13:05:47.35539,Sent,P2P,206
2024-01-17 13:05:47.35555,Sent,P2P,206
2024-01-17 13:05:47.35567,Sent,P2P,206
2024-01-17 13:05:47.35590,Received,P2P,206
2024-01-17 13:05:47.35614,Received,P2P,206
2024-01-17 13:05:47.35996,Received,P2P,206
2024-01-17 13:05:48.23271,Received,P2P,93
2024-01-17 13:05:48.23329,Sent,P2P,93
2024-01-17 13:05:48.23364,Sent,P2P,93
2024-01-17 13:05:48.23385,Sent,P2P,93
2024-01-17 13:05:48.25315,Received,P2P,93
2024-01-17 13:05:48.25390,Received,P2P,93
2024-01-17 13:05:48.36448,Received,P2P,990
2024-01-17 13:05:48.36698,Sent,P2P,206
2024-01-17 13:05:48.36788,Received,P2P,206
2024-01-17 13:05:48.36826,Sent,P2P,206
2024-01-17 13:05:48.36824,Received,P2P,206
2024-01-17 13:05:48.36844,Sent,P2P,206
2024-01-17 13:05:48.37019,Received,P2P,206
2024-01-17 13:05:48.73479,Received,Channel,57
2024-01-17 13:05:48.73542,Send,Channel,58
2024-01-17 13:05:49.23632,Received,P2P,93
2024-01-17 13:05:49.23670,Sent,P2P,93
2024-01-17 13:05:49.23701,Sent,P2P,93
2024-01-17 13:05:49.23716,Sent,P2P,93
2024-01-17 13:05:49.26816,Received,P2P,93
2024-01-17 13:05:49.26846,Received,P2P,93
2024-01-17 13:05:49.37353,Received,P2P,990
2024-01-17 13:05:49.37467,Sent,P2P,206
2024-01-17 13:05:49.37485,Sent,P2P,206
2024-01-17 13:05:49.37497,Sent,P2P,206
2024-01-17 13:05:49.37565,Received,P2P,206
2024-01-17 13:05:49.37585,Received,P2P,206
2024-01-17 13:05:49.37759,Received,P2P,206
2024-01-17 13:05:49.95909,Sent,P2P,17
2024-01-17 13:05:49.95969,Received,P2P,17
2024-01-17 13:05:49.96318,Received,P2P,17
2024-01-17 13:05:49.96857,Received,P2P,17
2024-01-17 13:05:49.96955,Sent,P2P,17
2024-01-17 13:05:49.96971,Sent,P2P,17
2024-01-17 13:05:50.24108,Sent,P2P,93
2024-01-17 13:05:50.24170,Sent,P2P,93
